Goal;X;Y;C;shot_aerial_won;shot_open_goal;shot_deflected;Distance_(0.365, 10.291];Distance_(10.291, 14.058];Distance_(14.058, 18.305];Distance_(18.305, 23.672];Distance_(23.672, 74.472];Angle_(-0.001, 0.254];Angle_(0.254, 0.317];Angle_(0.317, 0.406];Angle_(0.406, 0.599];Angle_(0.599, 2.795];shot_type_Free Kick;shot_type_Open Play;shot_type_Penalty;shot_body_part_Head;shot_body_part_Left Foot;shot_body_part_Other;shot_body_part_Right Foot
0;2.058.333.333.333.330;4.837.500.000.000.000;1.624.999.999.999.990;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
1;12.083.333.333.333.300;50.625;0.625;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;2.25;37.875;12.125;0.0;0.0;0.0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
0;10.416.666.666.666.600;32.625;17.375;0.0;0.0;0.0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0
0;9.333.333.333.333.320;65.375;15.375;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;11.583.333.333.333.300;33.25;16.75;0.0;0.0;0.0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1
0;2.341.666.666.666.660;50.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
0;2.108.333.333.333.330;4.037.499.999.999.990;9.625.000.000.000.000;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
0;2.533.333.333.333.330;37.25;12.75;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1;10.25;36.875;13.125;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0
0;14.75;5.087.500.000.000.000;0.8750000000000071;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;10.333.333.333.333.300;32.875;17.125;0.0;0.0;0.0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0
1;10.0;50.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
0;7.083.333.333.333.320;38.875;11.125;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
